"_id","title","author","description","price_amount","price_currency","rating_value","rating_count","publication_year","isbn","pages_cnt","publisher","book_cover","source_url"
"ObjectId(""6944eae3e5c85d934a345def"")","Мертвые души. Повести","Николай Гоголь","Николай Васильевич Гоголь (1809-1852) — великий русский писатель, создатель особого, неповторимого стиля в литературе. Талант Гоголя проявляется во всех его произведениях по-разному — то поражает читателя богатством языка и украинским колоритом, как в ""Вечерах на хуторе близ Диканьки"", то увлекает фантастикой петербургских повестей, то вызывает смех, как в ""Ревизоре"" и ""Мертвых душах"".",0,"RUB","4.3","9","2017","978-5-699-48580-2","768","Эксмо","https://content.img-gorod.ru/pim/products/images/d5/e4/0199ece7-b076-7179-83c5-48437455d5e4.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/mertvye-dushi-povesti-2031009"
"ObjectId(""6944eae4e5c85d934a345df0"")","Диагностика, дифференциальная диагностика и лечение детских инфекций (справочник). Издание 3-е дополненное и переработанное","Владимир Тимченко","Инфекционные заболевания в настоящее время остаются ведущей патологией детского возраста. Именно инфекции являются основной причиной летальных исходов у детей, в первую очередь, раннего возраста, а также инвалидизации и других неблагоприятных исходов.
.Одной из наиболее сложных проблем детской инфектологии является диагностика, дифференциальная диагностика и лечение инфекционных заболеваний.
.
.Большое внимание уделено полноценному питанию. Включение в рацион питания биологически активных добавок (БАД), восполняющих в организме недостаток витаминов, минеральных компонентов и биологически активных веществ, способствует поддержанию функциональной активности органов и систем, повышению неспециф",0,"RUB",,,"2010","593979100X","384","ЭЛБИ","https://content.img-gorod.ru/pim/products/images/0d/bb/018ed4fd-eb16-7810-a169-bb7018460dbb.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/diagnostika-differencialnaya-diagnostika-i-lechenie-detskih-infekciy-spravochnik-izdanie-3-e-dopolnennoe-i-pererabotannoe-2030990"
"ObjectId(""6944eae4e5c85d934a345df1"")","Диалоги с Иосифом Бродским","Соломон Волков","Диалоги с Бродским - книга для русской литературной культуры уникальная. Она содержит гигантское количество фактического материала, это откровенный вызов будущим исследователям.",0,"RUB",,,"2007","978-5-699-08032-8","640","Эксмо","https://content.img-gorod.ru/pim/products/images/98/92/0199e8a5-8510-7686-9d83-2d4e734e9892.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/dialogi-s-iosifom-brodskim-2030938"
"ObjectId(""6944eae4e5c85d934a345df2"")","""История живописи всех времен и народов"". Современное написание. Т.4","Александр Бенуа","Личность Александра Николаевича Бенуа поражает своим масштабом. Впервые в истории русской эстетической мысли им была обоснована национальная самобытность международные связи русского искусства нового времени. ""История живописи всех времен и народов"" - пожалуй, самая значительная работа А.Н.Бенуа по истории мирового искусства. Вышедшая в свет в 1912-1917 годах, книга эта впервые издается в послереволюционный период. В настоящем издании предлагается полный текст `Истории живописи всех времен и народов`, переведенный на современный алфавит и орфографию и таким образом впервые ставший доступным читателю XXI века. 4-й том этой книги по-своему уникален. Каждый из трех предыдущих томов состоял из ш",0,"RUB",,,"2004","5765439888","448","Нева","https://content.img-gorod.ru/pim/products/images/ea/c2/018ed4fd-dd92-7188-bc22-a8695616eac2.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/istoriya-zhivopisi-vseh-vremen-i-narodov-sovremennoe-napisanie-t-4-2030946"
"ObjectId(""6944eae6e5c85d934a345df3"")","Гендерная психология: Учебное пособие","Татьяна Бендас","В учебном пособии представлена новая отрасль психологической науки - гендерная психология. По разным проявлениям психики и поведения сравниваются девочки и мальчики, женщины и мужчины. Используются материалы многочисленных отечественных и...",0,"RUB","4.3",,"2018","978-5-496-02072-5","432","Питер","https://content.img-gorod.ru/pim/products/images/4d/f0/01907c7b-4f80-70d5-874a-f84abeb84df0.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/gendernaya-psihologiya-uchebnoe-posobie-2030829"
"ObjectId(""6944eae6e5c85d934a345df4"")","Практические занятия по математике: Учебное пособие. 10 -е изд.","Николай Богомолов","Настоящее пособие представляет собой руководство к решению задач по всем разделам программы по математике для техникумов на базе неполной и полной средней школы.",0,"RUB",,,"2008","5060039404","495","Высшая школа","https://content.img-gorod.ru/pim/products/images/a5/8d/018ed4fd-9c27-767e-b04f-83774645a58d.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/prakticheskie-zanyatiya-po-matematike-uchebnoe-posobie-10-e-izd-2030796"
"ObjectId(""6944eae6e5c85d934a345df5"")","Индуизм: творящие ритмы","Маргарита Альбедиль","Индуизм, традиционную религию Индии, одну из древнейших в мире, - называют ""парламентом религий"". Многими своими чертами он разительно отличается от привычного нам христианства. В самом деле, индуизм представляет собой пеструю и причудливую смесь разнообразных верований, мифов, ритуалов, теологических построений, философских прозрений, социальных предписаний, поведенческих нормативов и многого другого. Эта смесь на первый взгляд кажется хаотичной, но она объединена в нерасторжимое органическое целое глубинными смысловыми связями.Индуизм не теряет своей культуротворящей энергии уже не одно тысячелетие, удовлетворяя нужды огромного числа людей - от столичного высокообразованного ученого-пандит",0,"RUB",,,"2004","5-352-00945-9","256","Азбука","https://content.img-gorod.ru/pim/products/images/33/80/018ed4fd-9818-7b2e-bb90-9d1cfe9d3380.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/induizm-tvoryashchie-ritmy-2030783"
"ObjectId(""6944eae6e5c85d934a345df6"")","Класс","Татьяна и Олег Алексеенковы","Многомиллионные сделки, роскошные женщины, мощные машины... Как сложно добиться всего этого и как легко потерять, когда криминальные структуры берут тебя на прицел! Кто сможет остановить беспредельщиков? Об этом вы узнаете из боевика Татьяны и Олега Алексеенковых «Класс». Со времен Бушкова и Марининой вы не читали ничего подобного!",0,"RUB",,,"2004","5-352-00986-6","352","Азбука","https://content.img-gorod.ru/pim/products/images/50/04/018ed4fd-96ba-7e56-879e-211b0c065004.jpg?width=304&height=438&fit=bounds","https://www.chitai-gorod.ru/product/klass-2030780"
"ObjectId(""6944eae6e5c85d934a345df7"")","Пушкинский дом","Андрей Битов","Роман «Пушкинский дом» был закончен А. Битовым в 1971 году. Впервые издан в США в 1978 году. К 1989 году вышло первое издание в России. «Пушкинский дом» называют «эпохальной книгой», «текстом... который равноценен самым большим романам XX века».",0,"RUB",,,"2004","5-352-01068-6","512","Азбука","/_static/fallback-cover.webp","https://www.chitai-gorod.ru/product/pushkinskiy-dom-2030778"
"ObjectId(""6944eae6e5c85d934a345df8"")","Стена","Жан Сартр","Жан-Поль Сартр - без этого имени немыслимо представить себе историю французской философии и литературы XX века. Мир и по сей день продолжает зачитываться его произведениями. Сам же автор в 1964 году отказался от Нобелевской премии в области...",0,"RUB",,,"2004","5-352-00999-8","224","Азбука","/_static/fallback-cover.webp","https://www.chitai-gorod.ru/product/stena-2030777"
